[2021-07-13 17:36:46,851] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.229.32 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,851] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.229.33 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,852] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.229.34 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,852] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.229.35 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,852] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.234.2 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,852] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.260.3 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,853] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.271.5 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,853] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.274.2 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,853] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.274.6 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,854] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.285.1 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,854] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.286.2 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,854] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.290.2 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,854] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.290.3 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,855] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.293.49 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,855] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.293.60 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,855] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.293.61 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,855] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.293.62 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,855] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.308.2 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,856] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.317.2 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,856] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.321.4 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,856] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.321.10 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,856] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.321.16 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,857] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.321.23 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,857] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.330.1 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,857] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.330.2 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,857] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.330.3 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,857] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.330.4 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,857] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.330.5 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,858] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.330.6 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,858] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.330.7 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,858] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.330.9 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,858] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.330.11 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,858] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.330.14 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,859] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.330.15 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,860] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.367.2 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,860] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.374.3 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,861] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.374.8 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,861] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.374.9 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,861] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.374.12 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,861] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.374.13 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,861] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.374.16 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,862] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.374.17 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,862] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.375.2 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,862] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.376.15 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,862] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.376.23 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,862] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.376.24 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,862] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.377.7 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,863] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.393.2 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,863] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.405.7 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,864] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.406.4 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,864] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.406.6 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,864] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.406.7 because not in annotation (SQANTI/MatchAnnot) file.
